,Name,Address,Rating,Latitude,Longitude,Google Maps Link
29,Moanalua Studio,"Muchova 242/2, 160 00 Praha 6, Czechia",5.0,50.09859489999999,14.4070119,https://www.google.com/maps/place/?q=place_id:ChIJDXgVLMGVC0cRVOWclFqSFSw
30,Pilates Koloděje,"V Lipách 135/15, 190 16 Praha-Koloděje, Czechia",4.8,50.0631059,14.6428495,https://www.google.com/maps/place/?q=place_id:ChIJlYm0SC-NC0cRq2VqqfmOY-s
31,More Than Pilates Ltd.,"nám. 14. října 496/13, 150 00 Praha 5-Smíchov, Czechia",3.3,50.0730736,14.4041687,https://www.google.com/maps/place/?q=place_id:ChIJRXfU2u-UC0cRF-yqjWIIZuM
32,Pilates centrum,"Zelenky-Hajského, 130 00 Praha 3-Žižkov, Czechia",,50.0884716,14.4671846,https://www.google.com/maps/place/?q=place_id:ChIJX762nF6TC0cROx2OvR7uplM
33,YOGA - PILATES - Massage - Therapy,"Charkovská 333, 101 00 Praha 10-Vršovice, Czechia",5.0,50.0703083,14.4477322,https://www.google.com/maps/place/?q=place_id:ChIJ9QB3r4GUC0cRfFWyoNzKjGE
34,IQ movement center,"Nádražní 740/56, 150 00 Praha 5-Smíchov, Czechia",4.8,50.06355730000001,14.4091914,https://www.google.com/maps/place/?q=place_id:ChIJ7WKPcVuUC0cRcmj1jyWQCIU
35,Pilates 4U,"Nuselská 47/30, 140 00 Praha 4-Nusle, Czechia",5.0,50.06248309999999,14.4440699,https://www.google.com/maps/place/?q=place_id:ChIJozlPjQGVC0cRDwu36N19AaE
36,blu place s.r.o.,"Grafická 3365/5a, 150 00 Praha 5-Smíchov, Czechia",,50.07318679999999,14.3965628,https://www.google.com/maps/place/?q=place_id:ChIJJ7TFXDGVC0cR512MXEWABu0
37,Pilates Radotín,"Na Výšince 149/3, 153 00 Praha 16, Czechia",4.8,49.983996,14.3562696,https://www.google.com/maps/place/?q=place_id:ChIJhStHFb-XC0cRnEZOVH0FDTw
38,Studio Sara Puchowska s.r.o.,"Hybernská 9, 110 00 Nové Město, Czechia",5.0,50.0875073,14.4320668,https://www.google.com/maps/place/?q=place_id:ChIJgxqQmauVC0cRhBMKsGjIrsg
39,Pilates clinic Ltd.,"Nádražní 740, 150 00 Praha 5-Smíchov, Czechia",5.0,50.063529,14.4090464,https://www.google.com/maps/place/?q=place_id:ChIJe-plnFeUC0cRNQ1ylwnIcJc
40,Pilates studio Mgr. Petry Zajíčkové,"Hábova 2345/7, 155 00 Praha 13-Stodůlky, Czechia",4.0,50.0465211,14.3109531,https://www.google.com/maps/place/?q=place_id:ChIJvWIHl8C_C0cR6EcDIyd_a00
41,Studio Barre Prague,"Patočkova 2386/83, 160 00 Praha 6-Břevnov, Czechia",4.6,50.0851969,14.3647773,https://www.google.com/maps/place/?q=place_id:ChIJG8jRI5qVC0cR9ouiqxIBOGM
42,"Pilates, Mentální posilovna","Lomená, 253 01 Hostivice, Czechia",,50.0757769,14.2522466,https://www.google.com/maps/place/?q=place_id:ChIJcd-Nl7G_C0cRvvWLo_kqrm8
43,Komorní studio Pilates,"Terronská 578/23, 160 00 Praha 6-Bubeneč, Czechia",,50.1032445,14.3982718,https://www.google.com/maps/place/?q=place_id:ChIJ37dF9a-VC0cRLTbWIRI84GU
44,pilates,"Rybalkova 383/55, 101 00 Praha 10-Vršovice, Czechia",,50.0698338,14.4482193,https://www.google.com/maps/place/?q=place_id:ChIJPzSovCGVC0cRcftW3ZSNEQ8
45,Studio FASCINACE,"Újezd 450, 118 00 Malá Strana, Czechia",5.0,50.0834638,14.4049086,https://www.google.com/maps/place/?q=place_id:ChIJtxvUTuOUC0cRGim3hxKIuBo
46,Café Pilates,"Rýmařovská 199 00/561, 18 Praha 18, Czechia",4.6,50.1358985,14.5103199,https://www.google.com/maps/place/?q=place_id:ChIJSQrvqlPtC0cRy99zeRfI5qA
47,pilatesguru,"V Tůních, 120 00 Nové Město, Czechia",,50.0765405,14.4270605,https://www.google.com/maps/place/?q=place_id:ChIJD-UFXS6VC0cR6blIwY5650k
48,Studio Jiřina,"Písnická 763/29, 142 00 Praha 4-Kamýk, Czechia",5.0,50.0222539,14.441095,https://www.google.com/maps/place/?q=place_id:ChIJCZq9o0yVC0cR26-4mgyPsz8
49,FANatic ​​Studio,"9, Náměstí Míru 820, Vinohrady, 120 00 Praha 2, Czechia",4.7,50.0756442,14.4379184,https://www.google.com/maps/place/?q=place_id:ChIJgayeeo-UC0cRKg6cH7FMtMQ
50,Balanced.JanaSpurna,"Nebušice CZ, Nebušická 97, 164 00 Praha 6, Czechia",5.0,50.1112088,14.3284629,https://www.google.com/maps/place/?q=place_id:ChIJD5vpa3m_C0cRq9hP_Qr_RYI
51,Jemný svět,"Chopinova 1529, 120 00 Praha 2-Vinohrady, Czechia",5.0,50.0794141,14.444812,https://www.google.com/maps/place/?q=place_id:ChIJ-wlgHpuUC0cRV9rYBc9q3qc
52,Studio Tanes,"Panská 856/3, 110 00 Nové Město, Czechia",5.0,50.0839541,14.4280186,https://www.google.com/maps/place/?q=place_id:ChIJCRzpmeyUC0cRDF67mnpXIWU
53,Xplore Fitness,"Na Příkopě 17/1047, 110 00 Staré Město, Czechia",4.6,50.0855324,14.4250594,https://www.google.com/maps/place/?q=place_id:ChIJLazjeOyUC0cRMOFx5go2bPo
54,Midur Pilates,"Kaprova 42, 110 00 Staré Město, Czechia",,50.087908,14.4184632,https://www.google.com/maps/place/?q=place_id:ChIJ4QvB9yyVC0cRlCLympjUeFA
55,Fyzioterapie Pilates,"Nad Koulkou, 150 00 Praha 5-Smíchov, Czechia",,50.0605953,14.402254,https://www.google.com/maps/place/?q=place_id:ChIJSQtaZEWUC0cRuo1_s-QBex0
56,studiozp,"Opočínská 364, 190 17 Praha-Vinoř, Czechia",,50.1462279,14.57921,https://www.google.com/maps/place/?q=place_id:ChIJd6192wntC0cRT9j2DlaMA0c
57,ORIGAMI yoga studio,"Chlumova 260/23, 130 00 Praha 3-Žižkov, Czechia",5.0,50.0868609,14.4527999,https://www.google.com/maps/place/?q=place_id:ChIJsdkkwOKVC0cRkh6c9p2DBHs
58,Pilates Balance,"Nad Koulkou 2059, 150 00 Praha 5, Czechia",,50.0605953,14.402254,https://www.google.com/maps/place/?q=place_id:ChIJTQtaZEWUC0cRK-IYyNx1PiM
59,Samata studio,"Jana Růžičky 1165/2a, 148 00 Praha 4, Czechia",4.8,50.0217408,14.4900268,https://www.google.com/maps/place/?q=place_id:ChIJg6f1ylyTC0cRL-wGHz8Hnsg
60,Pilates Therapy,"Jeremenkova 1835/106, 140 00 Praha 4-Krč, Czechia",5.0,50.0438131,14.4351527,https://www.google.com/maps/place/?q=place_id:ChIJq0XggnmVC0cR6b72Z-_f5ss
