,Name,Address,Rating,Latitude,Longitude,Google Maps Link
28,Pole dance & fitness studio Wonderland,"Budějovická 1155 Jesenice, okres Praha-západ Jesenice, 252 42, Czechia",5.0,49.9707282,14.507124,https://www.google.com/maps/place/?q=place_id:ChIJQ33ftjyRC0cRWj21myWRx-o
29,Euforie Fitness & Wellness Smichov,"Štefánikova 13/43, 150 00 Praha 5-Smíchov, Czechia",4.3,50.0764494,14.4037962,https://www.google.com/maps/place/?q=place_id:ChIJ9Y8nP_mUC0cRVpghkBtt3SA
30,Škola tance pro všechny v Praze,"Na Zbořenci 7, 120 00 Nové Město, Czechia",4.9,50.0773788,14.4173913,https://www.google.com/maps/place/?q=place_id:ChIJWQd5g5mUC0cRxgSFQDWgeew
31,NikiDance,"Na Petřinách 82, 162 00 Praha 6-Petřiny, Czechia",5.0,50.087765,14.3421725,https://www.google.com/maps/place/?q=place_id:ChIJMV-NaH2VC0cRjOO4J_JHBgI
32,Euforie Fitness & Wellness Karlín,"Sokolovská 131/86, 186 00 Karlín, Czechia",4.3,50.093762,14.4507702,https://www.google.com/maps/place/?q=place_id:ChIJf_MbkaSUC0cRWIPaTFXCr6Q
33,ToFitko | Fitness World under Palmovka,"nám. Dr. Václava Holého 1054/13, 180 00 Praha 8-Palmovka, Czechia",4.7,50.1063604,14.473949,https://www.google.com/maps/place/?q=place_id:ChIJAbcSJavsC0cRWoq8D2Nkvn8
34,Centrum BackStage,"Pešlova 133, 190 00 Praha 9-Vysočany, Czechia",4.6,50.1114712,14.4987063,https://www.google.com/maps/place/?q=place_id:ChIJ15H7o7fsC0cRU-lJK8fC1Ps
35,Sky Dance,"Radlická 298/105, 150 00 Praha 5, Czechia",5.0,50.058224,14.3906696,https://www.google.com/maps/place/?q=place_id:ChIJb6fzXLWVC0cRS84W9YS5K14
36,Baby dance Praha - taneční studio,"Mikulova 1594, 149 00 Praha 11-Chodov, Czechia",5.0,50.0299676,14.5134044,https://www.google.com/maps/place/?q=place_id:ChIJD0jZVzySC0cRQxS34YyoCkU
37,Euforie – Fitness & Wellness Pankrác,"Na Pankráci 1600/82, 140 00 Praha 4-Nusle, Czechia",4.3,50.052828,14.4381082,https://www.google.com/maps/place/?q=place_id:ChIJAXiHPRuVC0cRk6uQ1OqOTa8
38,Sansha Praha,"Velehradská 1397/27, 130 00 Žižkov, Czechia",4.5,50.0804459,14.4528752,https://www.google.com/maps/place/?q=place_id:ChIJSWRkNJyUC0cRIurXzdaUq5E
39,Fit Time,"Železnobrodská 764, 197 00 Kbely, Czechia",4.9,50.13393259999999,14.5498948,https://www.google.com/maps/place/?q=place_id:ChIJXWI_eQHtC0cRt5Oc72rwzCE
40,Studio MuŠka,"Edisonova 27 Edisonova 27/21 Praha 10, 109 00 Praha-Petrovice, Czechia",5.0,50.0350907,14.5556531,https://www.google.com/maps/place/?q=place_id:ChIJt2aPSDiNC0cRnaQk_FngA3Y
41,LivingWell Health Club & Spa,"Pobřežní 1, 186 00 Karlín, Czechia",4.4,50.09311109999999,14.4402805,https://www.google.com/maps/place/?q=place_id:ChIJZV2CvL6UC0cRETm0onmREug
42,Tančírna taneční studio,"Dělnická 12, 170 00 Praha 7-Holešovice, Czechia",4.6,50.1029862,14.4465575,https://www.google.com/maps/place/?q=place_id:ChIJ-4EtT7GUC0cRD1RyRdAUVv0
43,Lenka Vagnerová & Company,"Na Košince 2175/8, 180 00 Praha 8, Czechia",2.0,50.1111239,14.4656937,https://www.google.com/maps/place/?q=place_id:ChIJiWW2EADrC0cRFSOCKVYHCGA
44,Dance Touch - Tereza Chábová,"Evropská 1691/35, 160 00 Praha 6-Dejvice, Czechia",5.0,50.0991947,14.3750998,https://www.google.com/maps/place/?q=place_id:ChIJ8V8osCyVC0cRk-WGdKQcjaM
45,oveė studio,"Entrance from shopping center, V Háji 1061/12, 170 00 Praha 7-Holešovice, Czechia",4.7,50.103401,14.4544757,https://www.google.com/maps/place/?q=place_id:ChIJi3G4wJWVC0cRdVVRZWZi4_4
